categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;1247;616.77;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1260;11.8;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11172;270.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;350;725.32;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;352;879.34;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;355;903.22;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;356;1282.54;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6195;984.44;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6196;984.44;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;10971;1262.63;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;10972;2658.75;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;21651;428.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11634;302.03;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11636;424.56;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11637;212.78;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11639;235.19;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11640;256.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11641;212.76;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11642;197.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11643;235.17;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11644;256.85;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11645;212.76;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11646;197.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11647;235.26;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11648;256.8;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11649;212.76;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11650;197.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11651;235.21;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11652;256.8;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11653;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11654;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11655;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11656;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11657;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11658;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11659;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11660;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11661;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11662;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11663;18.63;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;988;774.25;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;989;1015.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32648;361.39;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32671;12.62;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;35838;17.88;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;30868;250.1;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1137;907.86;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1154;67.86;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;26922;1024.39;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2112;1057.71;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;334;843.72;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;12265;573.89;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;23597;299.59;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32894;218.31;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32929;14.34;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;8743;340.72;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;38072;89.32;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11609;422.14;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;9431;589.63;8;;20/05/2025;;;IPTU 2025;0;6;
