categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;72;4228.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;234;711.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;255;409.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;340;795.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;355;865.04;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;356;1228.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;364;732.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;371;768.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;381;720.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;402;1518.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;433;868.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;468;2209.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;495;1430.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;499;836.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;612;1495.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;614;1447.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;615;1167.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;616;1308.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;642;1086.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;644;628.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;645;920;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;769;983.36;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;921;4231.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;929;1193.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;930;1821.76;8;;10/05/2024;;;IPTU 2024;0;6;
